family;name;class;cap-diameter;cap-shape;Cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;Spore-print-color;habitat;season
Paxillus Family;False Chanterelle;p;[3, 8];[s];[d];[o, y];[f];[d];[c];[o, y];[2, 5];[5, 8];;;[o, y];;;[f];[f];;[h, d];[u, a]
Chanterelle Family;Chanterelle;e;[2, 10];[x, f, s];[w];[y];[f];[f];[f];[f];[2, 8];[8, 20];;;[y];;;[f];[f];;[d];[u, a]
Chanterelle Family;Tubed Chanterelle;e;[2, 5];[s];;[n, y];[f];[f];[f];[f];[5, 8];[5, 10];;;[o, y];;;[f];[f];;[d];[a]
Chanterelle Family;Horn of Plenty;e;[2, 8];[s, o];[l];[n];[f];[f];[f];[f];[4, 10];[20, 80];;;[n];;;[f];[f];[g];[l, d];[u, a, w]
Oyster Mushroom Family;Oyster Mushroom;e;[5, 18];[f];;[l, g, b, w];[f];[d];[c];[w, y];[2, 3];[10, 20];;;[w];;;[f];[f];;[d];[a, w]
Oyster Mushroom Family;Branched Oyster Mushroom;e;[5, 12];[s, o];;[n];[f];;;[w];[2, 7];[15, 30];;;[n];;;[f];[f];;[d];[u, a]
Tricholoma Family;Olive-brown Panellus;p;[3, 12];[o];[e, t, k];[y, o, r, n];[f];;[c];[o, y];[1, 2];[10, 20];;;[y, n];;;[f];[f];;[d];[a, w]
Crepidotus Family;Soft Slipper Toadstool;p;[2, 7];[o];[s, t];[n, w];[f];;[c];[w];[0];[0];[f];[f];[f];;;[f];[f];[n];[d];[u, a]
Hydnum Family;Hedgehog Fungus;e;[6, 14];[f];[e];[b];[f];;[c];[b];[4, 6];[15, 25];;;[w];;;[t];[f];;[d];[a]
Ear-Pick Family;Ear-pick Fungus;p;[1, 2];[x, o];[k];[n];[f];;;[n];[2, 6];[1, 2];;;[n];;;[f];[f];;[d];[s, u, a, w]
Bracket Fungi;Hairy Stereum;p;[2, 6];[o];[s];[y, o, g, n, r];[f];[f];[f];[f];[0];[0];[f];[f];[f];;;[t];[f];;[d];[s, u, a, w]
Bracket Fungi;Silver Leaf Fungus;p;[2, 4];[o];[l];[g];[f];[f];[f];[f];[0];[0];[f];[f];[f];;;[f];[f];;[d];[s, u, a, w]
Bracket Fungi;Dryad's Saddle;e;[50];[o];[y];[y];[f];[p];;[y];[3, 10];[10, 60];;[k];[k, n];;;[f];[f];;[d];[s, u]
Bracket Fungi;Fuzzy Polypore;p;[8, 30];[f, x];[g, s, d];[o, e, n, k];[f];[p];;[y];[3, 8];[20, 60];;;[n];;;[f];[f];;[d];[a, w]
Bracket Fungi;Brown Goblet;p;[3, 7];[f, s];[k];[n, y];[f];[p];;[n];[2, 5];[3, 8];;[k];[n];;;[t];[f];;[d];[u]
Saddle-Cup Family;White Saddle;p;[2, 6];[o];;[w];[f];[f];[f];[f];[4, 7];[20, 40];;[g];[w];;;[t];[f];;[p, d];[u, a]
Bracket Fungi;Elfin's Saddle;p;[2, 4];[o];;[g, k];[f];[f];[f];[f];[2, 5];[10, 20];;[g];[g, n];;;[f];[f];;[d];[u, a]
Bracket Fungi;Turban Fungus;p;[5, 15];[o];;[n, e];[f];[f];[f];[f];[2, 5];[20, 30];;[g];[n];;;[f];[f];;[d];[s, u]
Morel Family;Common Morel;e;[3, 8];[p, c, o];;[n, g];[f];[f];[f];[f];[3, 8];[15, 25];;;[n];;;[f];[f];;[l, d];[s]
Jelly Discs Family;Jelly Babies;p;[1, 1.5];[x, f, s];[s];[y];[f];[f];[f];[f];[2, 5];[4, 7];;;[y];;;[f];[f];;[d];[u, a]
